Construction Engineering and Management,Construction engineering and management expert joins Missouri S&T,http://www.newswise.com/articles/view/697670/?sc=rsla
Construction Engineering and Management,Construction engineering and management expert joins Missouri S&T,http://news.mst.edu/2018/07/construction-engineering-and-management-expert-joins-missouri-st/

Project Management,Lead Project Management Officer,https://finance.careers.global/job/2823100/Lead-Project-Management-Officer.html
Project Management,Lead Project Management Officer,https://it.careers.global/job/2823100/Lead-Project-Management-Officer.html
Project Management,) Project Management and Planning Operations Representative,https://dejobs.org/fort-worth-tx/project-management-and-planning-operations-representative/18AA651E35464C858B96FF8523ED57C1/job/?vs=25
Project Management,) Technical Project Management,https://dejobs.org/dreilinden-deu/technical-project-management/898A42584434456F97D0D297C4FA3F4B/job/?vs=25
Project Management,Learn valuable project management skills for a price you pick,https://www.androidauthority.com/project-management-mastery-bundle-966253/

