Music Technology,"Qloo, the Leading AI Platform for Culture and Taste, to Participate in Universal Music Group Hackathons to Empower Music Technology Innovation",https://www.prnewswire.com/news-releases/qloo-the-leading-ai-platform-for-culture-and-taste-to-participate-in-universal-music-group-hackathons-to-empower-music-technology-innovation-300811014.html
Music Technology,The most exciting music technology startups in the UK,https://www.techworld.com/picture-gallery/startups/most-exciting-music-tech-startups-in-uk-3693291/
Music Technology,Director of Music & Music Technology,http://www.music-jobs.com/uk/jobsboard_detail.php?job_uid=25317718&affid=rss44
Music Technology,"Wyclef Jean presents $50,000 music technology grant to South Philly High",https://southphillyreview.com/2019/02/21/wyclef-jean-presents-50000-music-technology-grant-to-south-philly-high/
Music Technology,Wyclef Jean Presents Music Technology Grant to South Philadelphia High School,https://www.looktothestars.org/news/18771-wyclef-jean-presents-music-technology-grant-to-south-philadelphia-high-school

Music Engineering,"Music engineering minor brings together technology, art",https://tuftsdaily.com/features/2019/03/14/music-engineering-minor-brings-together-technology-art/

